Entity,Code,Year,Schizophrenia (%),Bipolar disorder (%),Eating disorders (%),Anxiety disorders (%),Drug use disorders (%),Depression,Alcohol use disorders (%)
Myanmar,MMR,2017,0.213915171,0.510455858,0.125738283,3.313935835,0.576854931,2.300981571,0.870378187
Cambodia,KHM,2017,0.208266148,0.509922388,0.108378572,3.289745188,0.570337425,3.094945297,0.844038411
Timor,TLS,2017,0.204231467,0.502838881,0.110934289,3.23266099,0.632557471,3.139086587,0.823884868
Northern Mariana Islands,MNP,2017,0.258128155,0.487045264,0.195841391,3.300622423,0.791444313,3.097054851,1.466785518
Guam,GUM,2017,0.261254279,0.478222662,0.253393068,3.308606015,0.806330191,3.492855524,1.276183885
American Samoa,ASM,2017,0.248556655,0.468304898,0.177807528,3.315833755,0.772801488,2.939668061,1.142276745
Tonga,TON,2017,0.235881121,0.462664422,0.125706097,3.297507338,0.762905287,2.918969531,1.136432482
Samoa,WSM,2017,0.234876448,0.460365666,0.126132452,3.255973091,0.8449052,3.038938064,1.109338591
Fiji,FJI,2017,0.238571847,0.452605478,0.14725265,3.282447494,0.757352302,3.171898099,1.107545128
Micronesia (country),FSM,2017,0.21929847,0.437294029,0.109113093,3.254044983,0.774408001,3.134619392,1.180539798
Marshall Islands,MHL,2017,0.21861606,0.429061752,0.111895399,3.238920803,0.774687856,3.104347396,1.224633248
Solomon Islands,SLB,2017,0.210462282,0.427706808,0.094188791,3.214827959,0.703738546,3.15306798,1.134592407
Vanuatu,VUT,2017,0.214734299,0.427418834,0.106462399,3.218816111,0.698906286,3.122694974,1.213940731
Kiribati,KIR,2017,0.20810778,0.424040748,0.09361351,3.284167632,0.720942236,3.172753632,1.051227334
Oceania,,2017,0.214379284,0.419198688,0.110456792,3.209405976,0.740219226,3.164264932,1.194757379
Papua New Guinea,PNG,2017,0.209554725,0.411126613,0.104959861,3.192716535,0.738106301,3.168660777,1.212565986
"Southeast Asia, East Asia, and Oceania",,2017,0.303991111,0.389566789,0.154265645,3.061018293,0.964306161,3.180873476,1.147283974
Taiwan,TWN,2017,0.262938921,0.352168781,0.240476114,3.444566493,0.929591627,3.016542747,2.085573486
North Korea,PRK,2017,0.236197646,0.326334367,0.09091,3.240918411,0.929487551,3.090846047,1.370885848
East Asia,,2017,0.335179635,0.322459768,0.159511064,3.041393916,1.107723892,3.302016651,1.237430753
China,CHN,2017,0.338174073,0.32190603,0.159587521,3.030968888,1.113943153,3.311305897,1.220902816
